title,release_date,critic_score,audience_score,release_year
Trog,1970,0.13,0.23,1970
When Dinosaurs Ruled the Earth,"Released Mar 17, 1971",0.17,0.27,1971
The Private Life of Sherlock Holmes,"Released Dec 3, 1970",0.89,0.73,1970
Three Sisters,2012,1.0,0.88,2012
The Owl and the Pussycat,"Released Nov 3, 1970",0.82,0.64,1970
The Phantom Tollbooth,"Released Nov 7, 1970",1.0,0.76,1970
Scars of Dracula,1970,0.5,0.44,1970
The Horror of Frankenstein,1970,0.55,0.4,1970
Where's Poppa?,"Released Jan 1, 1970",0.82,0.69,1970
The Garden of the Finzi-Continis,"Released Dec 16, 1971",0.94,0.78,1971
Gimme Shelter,"Released Dec 6, 1970",0.94,0.91,1970
Husbands,1970,0.66,0.79,1970
Claire's Knee,"Released Feb 1, 1971",0.96,0.85,1971
Rio Lobo,"Released Dec 18, 1970",0.7,0.7,1970
There Was a Crooked Man,"Released Dec 25, 1970",0.82,0.72,1970
Billy Jack,"Released May 1, 1971",0.63,0.63,1971
Fiddler on the Roof,"Released Jan 1, 1971",0.81,0.92,1971
Diamonds Are Forever,"Released Dec 17, 1971",0.64,0.57,1971
The French Connection,"Released Oct 7, 1971",0.96,0.87,1971
Summer of '42,"Released Apr 9, 1971",0.79,0.73,1971
Dirty Harry,"Released Jan 1, 1971",0.89,0.9,1971
The Last Picture Show,"Released Jan 1, 1971",0.98,0.89,1971
Bedknobs and Broomsticks,"Released Oct 7, 1971",0.67,0.74,1971
Sweet Sweetback's Baadasssss Song,"Released Apr 23, 1971",0.73,0.48,1971
Punishment Park,"Released Mar 14, 1973",0.92,0.86,1973
Zachariah,1971,0.5,0.39,1971
The Music Lovers,"Released Jan 24, 1971",0.61,0.74,1971
10 Rillington Place,1971,0.64,0.84,1971
Little Murders,"Released Feb 9, 1971",0.71,0.8,1971
Countess Dracula,1970,0.4,0.44,1970
Cold Turkey,"Released Feb 19, 1971",0.6,0.65,1971
Wanda,"Released Feb 28, 1971",0.92,0.7,1971
The Emigrants,"Released Sep 24, 1972",0.94,0.87,1972
Get Carter,"Released Mar 18, 1971",0.87,0.84,1971
Lawman,1971,0.73,0.63,1971
THX-1138,"Released Mar 11, 1971",0.86,0.73,1971
The Andromeda Strain,"Released Mar 12, 1971",0.68,0.72,1971
Vanishing Point,"Released Jan 15, 1971",0.79,0.81,1971
The Barefoot Executive,1971,0.83,0.48,1971
Taking Off,"Released Mar 28, 1971",1.0,0.84,1971
The Mephisto Waltz,1971,0.63,0.43,1971
The Blood on Satan's Claw,"Released Apr 14, 1971",0.73,0.58,1971
Bananas,"Released Apr 28, 1971",0.83,0.74,1971
Pretty Maids All in a Row,"Released Feb 26, 1971",0.08,0.48,1971
The Big Doll House,1971,1.0,0.5,1971
Plaza Suite,1971,0.67,0.56,1971
Johnny Got His Gun,1971,0.67,0.86,1971
The Abominable Dr. Phibes,"Released May 18, 1971",0.88,0.75,1971
Escape From the Planet of the Apes,"Released May 21, 1971",0.76,0.53,1971
Big Jake,"Released May 26, 1971",0.75,0.85,1971
Support Your Local Gunfighter,"Released May 26, 1971",0.62,0.61,1971
The Villain,1979,0.0,0.39,1979
The Beguiled,"Released Jun 30, 2017",0.78,0.48,2017
The Beguiled,"Released Mar 31, 1971",0.9,0.72,1971
The Grissom Gang,1971,0.46,0.7,1971
They Might Be Giants,"Released Jun 9, 1971",0.61,0.74,1971
"Drive, He Said",1971,0.57,0.21,1971
Wuthering Heights,1992,0.31,0.66,1992
Fortune and Men's Eyes,1971,0.57,0.53,1971
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,"Released Jun 15, 1971",0.4,0.33,1971
The Anderson Tapes,1971,0.76,0.53,1971
Willard,"Released Mar 14, 2003",0.64,0.51,2003
Le Mans,"Released Jun 23, 1971",0.71,0.79,1971
McCabe & Mrs. Miller,"Released Jun 24, 1971",0.85,0.86,1971
Klute,"Released Jun 23, 1971",0.93,0.8,1971
The Hellstrom Chronicle,"Released Jun 28, 1971",0.75,0.87,1971
Carnal Knowledge,"Released Jun 30, 1971",0.88,0.72,1971
"$1,000,000 Duck",1971,0.17,0.41,1971
What's the Matter With Helen?,"Released Jun 30, 1971",0.55,0.41,1971
Willy Wonka and the Chocolate Factory,"Released Jan 1, 1971",0.92,0.87,1971
Walkabout,1971,0.86,0.86,1971
"Sunday, Bloody Sunday","Released Sep 8, 1971",0.87,0.7,1971
Shaft,"Released Jun 14, 2019",0.34,0.94,2019
Two-Lane Blacktop,"Released Jan 1, 1971",0.93,0.82,1971
The Devils,"Released Jul 16, 1971",0.7,0.88,1971
The Hunting Party,1971,0.2,0.54,1971
At the Edge of the World,2008,0.87,0.48,2008
Godzilla vs. Hedorah,1971,0.64,0.49,1971
The Horsemen,"Released Jul 24, 1971",0.3,0.57,1971
Horsemen,"Released Mar 6, 2009",0.17,0.25,2009
On Any Sunday,"Released Jul 28, 1971",0.83,0.84,1971
Von Richthofen and Brown,1971,0.56,0.35,1971
The Go-Between,"Released Jul 29, 1971",1.0,0.78,1971
The Omega Man,"Released Aug 1, 1971",0.65,0.53,1971
The Hired Hand,"Released Jan 1, 1971",0.81,0.75,1971
Let's Scare Jessica to Death,1971,0.36,0.5,1971
Beware of a Holy Whore,1971,0.84,0.62,1971
See No Evil,"Released May 19, 2006",0.1,0.5,2006
Kotch,"Released Sep 17, 1971",0.75,0.68,1971
"Unman, Wittering and Zigo",1971,0.4,0.82,1971
And Now for Something Completely Different,1972,0.88,0.87,1972
The Last Movie,1971,0.5,0.52,1971
Shootout,1971,0.2,0.44,1971
The Organization,1971,0.25,0.29,1971
Play Misty for Me,1971,0.85,0.71,1971
Joe Hill,1971,0.5,0.89,1971
A Fistful of Dynamite,1971,0.92,0.83,1971
Hannie Caulder,1971,0.6,0.54,1971
Born to Win,"Released Dec 1, 1971",0.29,0.35,1971
Believe in Me,"Released Mar 9, 2007",0.6,0.74,2007
Gumshoe,1972,0.88,0.54,1972
The Decameron,"Released Dec 12, 1971",0.79,0.75,1971
The Hospital,"Released Dec 14, 1971",1.0,0.73,1971
The Boy Friend,"Released Dec 16, 1971",0.88,0.68,1971
Lady and the Tramp,"Released Jun 22, 1955",0.93,0.8,1955
Mary Queen of Scots,"Released Dec 21, 2018",0.62,0.41,2018
Sometimes a Great Notion,"Released Jan 19, 1972",1.0,0.77,1972
Harold and Maude,"Released Jan 1, 1971",0.86,0.93,1971
The Gang That Couldn't Shoot Straight,"Released Dec 22, 1971",0.2,0.26,1971
Minnie and Moskowitz,"Released Dec 22, 1971",0.82,0.85,1971
Straw Dogs,"Released Dec 29, 1971",0.82,0.82,1971
The Godfather,"Released Mar 15, 1972",0.97,0.98,1972
"What's Up, Doc?","Released Mar 10, 1972",0.89,0.88,1972
Deliverance,"Released Jul 30, 1972",0.89,0.82,1972
Jeremiah Johnson,"Released Sep 10, 1972",0.91,0.89,1972
Cabaret,"Released Feb 13, 1972",0.92,0.87,1972
Getaway,"Released Aug 30, 2013",0.03,0.36,2013
Last Tango in Paris,"Released Oct 14, 1972",0.82,0.75,1972
The Cowboys,"Released Jan 13, 1972",0.75,0.88,1972
Cisco Pike,"Released Jan 14, 1972",1.0,0.62,1972
"X, Y & Zee","Released Jan 21, 1972",0.29,0.35,1972
The Hot Rock,"Released Jan 26, 1972",0.78,0.69,1972
Pocket Money,1972,0.5,0.31,1972
The New Land,"Released Feb 26, 1972",1.0,0.86,1972
Frogs,"Released Mar 10, 1972",0.28,0.24,1972
Silent Running,"Released Mar 10, 1972",0.71,0.66,1972
Godzilla vs. Gigan,1972,0.67,0.48,1972
Pink Flamingos,"Released Apr 11, 1997",0.84,0.72,1997
Fritz the Cat,"Released Jan 1, 1972",0.64,0.59,1972
Buck and the Preacher,1972,0.84,0.62,1972
Vampire Circus,1972,0.8,0.64,1972
"Play It Again, Sam","Released May 4, 1972",0.97,0.89,1972
The Great Northfield Minnesota Raid,"Released Jun 14, 1972",0.73,0.44,1972
Hammersmith Is Out,1972,0.29,0.56,1972
Boxcar Bertha,"Released Jun 13, 1972",0.56,0.33,1972
Shaft's Big Score!,1972,0.58,0.46,1972
Frenzy,"Released Jun 21, 1972",0.91,0.78,1972
The Groundstar Conspiracy,1972,0.33,0.67,1972
Ben,"Released Jun 23, 1972",0.6,0.38,1972
Prime Cut,1972,0.71,0.72,1972
The Candidate,"Released Jun 29, 1972",0.89,0.74,1972
Conquest of the Planet of the Apes,"Released Jun 30, 1972",0.52,0.46,1972
Dr. Phibes Rises Again,"Released Jul 5, 1972",0.59,0.57,1972
Butterflies Are Free,"Released Jul 6, 1972",0.69,0.8,1972
"Now You See Him, Now You Don't",1972,0.8,0.57,1972
Joe Kidd,1972,0.8,0.54,1972
The Man,"Released Sep 9, 2005",0.12,0.41,2005
The Thing With Two Heads,1972,0.0,0.25,1972
The Big Bird Cage,1972,1.0,0.63,1972
Fat City,"Released Jul 26, 1972",1.0,0.84,1972
Night of the Lepus,1972,0.0,0.27,1972
Junior Bonner,"Released Aug 2, 1972",0.92,0.62,1972
The New Centurions,1972,0.6,0.63,1972
Superfly,1972,0.93,0.7,1972
Everything You Always Wanted to Know About Sex (But Were Afraid to Ask),"Released Aug 6, 1972",0.88,0.69,1972
"Snoopy, Come Home","Released Aug 9, 1972",0.93,0.84,1972
Blacula,"Released Apr 25, 1972",0.46,0.44,1972
The Last House on the Left,"Released Mar 13, 2009",0.43,0.52,2009
Last House on the Left,"Released Aug 30, 1972",0.65,0.5,1972
The Ruling Class,"Released Sep 13, 1972",0.77,0.85,1972
The Discreet Charm of the Bourgeoisie,"Released Sep 15, 1972",0.98,0.88,1972
Sounder,"Released Sep 24, 1972",0.91,0.77,1972
Solaris,"Released Nov 27, 2002",0.66,0.59,2002
Dracula A.D. 1972,1972,0.27,0.4,1972
Hickey & Boggs,"Released Oct 4, 1972",0.67,0.57,1972
Dumbo,"Released Oct 23, 1941",0.95,0.7,1941
The King of Marvin Gardens,"Released Oct 12, 1972",0.7,0.58,1972
Play It as It Lays,1972,0.5,0.53,1972
Trouble Man,"Released Nov 1, 1972",0.14,0.65,1972
Ulzana's Raid,"Released Oct 18, 1972",0.9,0.67,1972
1776,"Released Nov 17, 1972",0.68,0.84,1972
The Mechanic,"Released Jan 28, 2011",0.53,0.51,2011
"Brother Sun, Sister Moon",1973,0.42,0.78,1973
Horror Express,"Released Dec 3, 1973",0.81,0.53,1973
Sleuth,"Released Oct 12, 2007",0.36,0.51,2007
Child's Play,"Released Nov 9, 1988",0.74,0.65,1988
Man of La Mancha,"Released Dec 11, 1972",0.53,0.71,1972
Avanti!,"Released Dec 17, 1972",0.79,0.76,1972
The Heartbreak Kid,"Released Oct 5, 2007",0.29,0.37,2007
The Heartbreak Kid,"Released Dec 17, 1972",0.92,0.73,1972
Pete 'n' Tillie,"Released Dec 17, 1972",0.67,0.72,1972
Travels With My Aunt,"Released Dec 17, 1972",0.5,0.47,1972
Images,"Released Dec 18, 1972",0.75,0.7,1972
The Life and Times of Judge Roy Bean,"Released Dec 18, 1972",0.8,0.74,1972
Across 110th Street,"Released Dec 19, 1972",0.83,0.78,1972
The Effect of Gamma Rays on Man-in-the-Moon Marigolds,1973,0.77,0.82,1973
The Sword in the Stone,"Released Dec 25, 1963",0.66,0.73,1963
The Exorcist,"Released Dec 26, 1973",0.78,0.87,1973
American Graffiti,"Released Aug 11, 1973",0.95,0.84,1973
Papillon,"Released Dec 16, 1973",0.72,0.9,1973
The Way We Were,"Released Oct 17, 1973",0.64,0.81,1973
Magnum Force,1973,0.67,0.78,1973
Live and Let Die,"Released Jun 27, 1973",0.67,0.64,1973
Paper Moon,"Released May 9, 1973",0.9,0.94,1973
Serpico,"Released Dec 5, 1973",0.93,0.88,1973
The Offence,1973,0.71,0.72,1973
Shamus,1973,0.25,0.4,1973
Steelyard Blues,"Released Jan 31, 1973",0.5,0.31,1973
Wattstax,"Released Feb 4, 1973",0.9,0.9,1973
Black Caesar,"Released Feb 7, 1973",0.64,0.63,1973
The Train Robbers,"Released Feb 7, 1973",0.33,0.58,1973
The Creeping Flesh,"Released Feb 12, 1973",0.83,0.52,1973
Save the Tiger,"Released Feb 14, 1973",0.86,0.74,1973
Payday,1973,0.56,0.78,1973
Turkish Delight,1973,0.86,0.8,1973
Walking Tall,"Released Apr 2, 2004",0.26,0.59,2004
Charlotte's Web,"Released Dec 15, 2006",0.79,0.62,2006
Baxter,1989,0.9,0.83,1989
Slither,"Released Mar 31, 2006",0.87,0.63,2006
Ludwig,"Released Mar 8, 1973",0.33,0.89,1973
Schlock,1973,0.75,0.45,1973
Vault of Horror,"Released Mar 16, 1973",0.8,0.51,1973
The Crazies,"Released Mar 16, 1973",0.71,0.48,1973
Lost Horizon,"Released Mar 2, 1937",0.93,0.82,1937
Godspell,"Released Mar 21, 1973",0.63,0.71,1973
The Mack,1973,0.6,0.85,1973
The Candy Snatchers,1974,0.83,0.6,1974
Scorpio,"Released Apr 19, 1973",0.59,0.4,1973
Soylent Green,"Released May 9, 1973",0.71,0.7,1973
Ganja & Hess,"Released Apr 20, 1973",0.93,0.53,1973
Messiah of Evil,"Released Apr 23, 1973",1.0,0.57,1973
And Now the Screaming Starts,"Released Apr 27, 1973",0.4,0.43,1973
Hitler: The Last Ten Days,"Released May 9, 1973",0.38,0.55,1973
The Day of the Jackal,"Released Jul 30, 1973",0.91,0.88,1973
Pat Garrett and Billy the Kid,"Released May 23, 1973",0.57,0.82,1973
Day for Night,"Released Sep 7, 1973",0.98,0.91,1973
The Last of Sheila,1973,0.9,0.84,1973
Battle for the Planet of the Apes,"Released Jun 15, 1973",0.36,0.3,1973
The Legend of Hell House,1973,0.65,0.56,1973
Coffy,"Released Jun 13, 1973",0.79,0.75,1973
Blume in Love,1973,0.7,0.53,1973
O Lucky Man!,1973,0.81,0.87,1973
Shaft in Africa,1973,0.64,0.52,1973
Belladonna of Sadness,1973,0.9,0.75,1973
Cleopatra Jones,1973,0.8,0.44,1973
Sssssss,1973,0.3,0.26,1973
The Mackintosh Man,1973,0.58,0.44,1973
The Last American Hero,1973,0.75,0.52,1973
Heavy Traffic,"Released Aug 8, 1973",0.89,0.74,1973
The Stone Killer,1973,0.6,0.42,1973
White Lightning,1973,0.67,0.61,1973
Gordon's War,"Released Aug 9, 1973",0.6,0.47,1973
Night Watch,"Released Oct 10, 1973",0.44,0.67,1973
Westworld,"Released Nov 21, 1973",0.84,0.7,1973
Electra Glide in Blue,1973,0.64,0.74,1973
Enter the Dragon,"Released Jan 1, 1973",0.88,0.91,1973
High Plains Drifter,"Released Apr 19, 1973",0.94,0.86,1973
The Spook Who Sat by the Door,"Released Sep 21, 1973",0.75,0.83,1973
Kid Blue,1973,0.5,0.62,1973
Mean Streets,"Released Jan 1, 1973",0.94,0.84,1973
Badlands,"Released Oct 15, 1973",0.97,0.9,1973
Don't Look Now,"Released Dec 25, 1973",0.93,0.76,1973
The Paper Chase,"Released Oct 16, 1973",0.81,0.72,1973
Charley Varrick,1973,0.82,0.83,1973
The Outfit,"Released May 27, 1974",0.8,0.73,1974
Jonathan Livingston Seagull,"Released Oct 23, 1973",0.08,0.61,1973
Homecoming,"Released Jul 17, 2009",0.0,0.33,2009
Executive Action,1973,0.6,0.57,1973
The Don Is Dead,1973,0.6,0.27,1973
Breezy,"Released Nov 16, 1973",0.63,0.65,1973
The Holy Mountain,"Released Nov 29, 1973",0.85,0.88,1973
Andy Warhol's Frankenstein,1973,0.88,0.56,1973
Fantastic Planet,1973,0.91,0.87,1973
The Wicker Man,"Released Sep 1, 2006",0.15,0.17,2006
The Last Detail,"Released Dec 12, 1973",0.87,0.87,1973
My Name Is Nobody,1973,1.0,0.84,1973
The Seven-Ups,1974,0.73,0.7,1974
Hell up in Harlem,1973,0.22,0.5,1973
Sleeper,"Released Apr 1, 1973",1.0,0.81,1973
Amarcord,"Released Sep 19, 1974",0.87,0.9,1974
Cinderella Liberty,"Released Dec 18, 1973",0.56,0.62,1973
The Day of the Dolphin,"Released Dec 19, 1973",0.43,0.41,1973
The Laughing Policeman,1973,0.56,0.48,1973
The Towering Inferno,"Released Dec 14, 1974",0.68,0.72,1974
The Trial of Billy Jack,1974,0.4,0.48,1974
Young Frankenstein,"Released Dec 15, 1974",0.95,0.92,1974
Earthquake,"Released Nov 15, 1974",0.44,0.36,1974
"The Godfather, Part II","Released Dec 12, 1974",0.96,0.97,1974
Airport 1975,1974,0.3,0.38,1974
The Longest Yard,"Released May 27, 2005",0.31,0.62,2005
Murder on the Orient Express,"Released Nov 24, 1974",0.9,0.78,1974
McQ,1974,0.4,0.56,1974
The Satanic Rites of Dracula,1973,0.33,0.3,1973
Zardoz,1974,0.49,0.53,1974
From Beyond the Grave,1973,0.6,0.61,1973
Busting,1974,0.17,0.55,1974
The Super Cops,1974,1.0,0.65,1974
Godzilla vs. Mechagodzilla,"Released Mar 21, 1974",0.86,0.63,1974
Conrack,"Released Mar 27, 1974",0.69,0.79,1974
Mame,"Released Mar 7, 1974",0.36,0.48,1974
Dark Star,1974,0.72,0.65,1974
The Night Porter,"Released Oct 1, 1974",0.67,0.68,1974
The Golden Voyage of Sinbad,1973,0.76,0.64,1973
The Sugarland Express,1974,0.87,0.66,1974
Foxy Brown,"Released Apr 5, 1974",0.64,0.66,1974
The Conversation,"Released Apr 7, 1974",0.97,0.89,1974
Lovin' Molly,"Released Apr 14, 1974",0.4,0.14,1974
Caged Heat,1974,0.76,0.39,1974
Son of Dracula,1943,0.6,0.33,1943
The Beast Must Die,1974,0.43,0.37,1974
Claudine,"Released Apr 22, 1974",0.67,0.91,1974
The Apprenticeship of Duddy Kravitz,1974,0.93,0.73,1974
The Lords of Flatbush,1974,0.67,0.42,1974
Frankenstein and the Monster From Hell,"Released May 2, 1974",0.63,0.48,1974
Symptoms,1974,1.0,0.57,1974
Stavisky,"Released May 15, 1974",0.85,0.6,1974
Alice in the Cities,"Released Apr 28, 1977",1.0,0.91,1977
The Black Windmill,1974,0.57,0.36,1974
"Dirty Mary, Crazy Larry",1974,0.47,0.68,1974
That's Entertainment!,"Released May 23, 1974",1.0,0.86,1974
The Driver's Seat,1974,0.6,0.54,1974
Daisy Miller,"Released May 22, 1974",0.69,0.32,1974
Thunderbolt and Lightfoot,"Released May 23, 1974",0.89,0.73,1974
Herbie Rides Again,1974,0.83,0.53,1974
The Parallax View,"Released Jun 14, 1974",0.87,0.78,1974
Chinatown,"Released Jun 20, 1974",0.98,0.93,1974
The Terminal Man,1974,0.5,0.4,1974
The Groove Tube,"Released Apr 19, 1974",0.14,0.59,1974
The Nine Lives of Fritz the Cat,1974,0.3,0.41,1974
Three the Hard Way,1974,0.33,0.49,1974
Truck Turner,"Released Apr 19, 1974",0.6,0.73,1974
Mr. Majestyk,1974,0.83,0.67,1974
The Take,"Released Sep 3, 2004",0.9,0.91,2004
Death Wish,"Released Jul 24, 1974",0.66,0.69,1974
Uptown Saturday Night,"Released Jun 16, 1974",0.7,0.79,1974
California Split,"Released Aug 7, 1974",0.87,0.83,1974
Macon County Line,"Released Aug 8, 1974",0.56,0.56,1974
Harry and Tonto,"Released Aug 12, 1974",0.88,0.81,1974
Bring Me the Head of Alfredo Garcia,"Released Aug 14, 1974",0.78,0.85,1974
Big Bad Mama,"Released Sep 19, 1974",0.75,0.41,1974
Juggernaut,1974,0.8,0.56,1974
The Taking of Pelham One Two Three,"Released Oct 2, 1974",0.98,0.88,1974
Female Trouble,"Released Oct 4, 1975",0.9,0.85,1975
Law and Disorder,1974,0.4,0.4,1974
The Cars That Ate Paris,1974,0.65,0.35,1974
Black Christmas,"Released Dec 25, 2006",0.14,0.38,2006
Benji,"Released Oct 17, 1974",0.86,0.55,1974
Mahler,1974,0.75,0.77,1974
Stardust,"Released Aug 10, 2007",0.77,0.86,2007
The Klansman,1974,0.22,0.25,1974
Phantom of the Paradise,"Released Oct 31, 1974",0.82,0.84,1974
The Four Musketeers,"Released Feb 26, 1975",0.77,0.74,1975
Open Season,"Released Sep 29, 2006",0.49,0.57,2006
Blood for Dracula,1974,0.67,0.61,1974
Lenny,"Released Aug 15, 1975",0.87,0.88,1975
The Phantom of Liberty,"Released Sep 11, 1974",0.85,0.91,1974
Emmanuelle,1974,0.38,0.43,1974
Alice Doesn't Live Here Anymore,"Released Dec 9, 1974",0.92,0.81,1974
F for Fake,"Released Jan 30, 1976",0.88,0.88,1976
Hearts and Minds,"Released Nov 17, 1975",0.91,0.9,1975
The Island at the Top of the World,"Released Dec 20, 1974",0.5,0.47,1974
The Man With the Golden Gun,"Released Dec 19, 1974",0.42,0.55,1974
Swept Away... by an Unusual Destiny in the Blue Sea of August,1974,0.59,0.8,1974
Freebie and the Bean,"Released Dec 25, 1974",0.23,0.67,1974
Jaws,"Released Jun 20, 1975",0.97,0.9,1975
One Flew Over the Cuckoo's Nest,"Released Nov 19, 1975",0.93,0.96,1975
Shampoo,"Released Feb 11, 1975",0.68,0.56,1975
Dog Day Afternoon,"Released Sep 21, 1975",0.96,0.9,1975
The Return of the Pink Panther,"Released May 21, 1975",0.86,0.82,1975
Three Days of the Condor,"Released Sep 24, 1975",0.87,0.82,1975
The Rocky Horror Picture Show,"Released Sep 29, 1975",0.8,0.85,1975
Funny Lady,"Released Mar 15, 1975",0.3,0.55,1975
And Then There Were None,"Released Oct 31, 1945",1.0,0.77,1945
Rafferty and the Gold Dust Twins,1975,0.71,0.44,1975
Report to the Commissioner,"Released Feb 5, 1975",0.43,0.6,1975
The Stepford Wives,"Released Jun 11, 2004",0.26,0.3,2004
At Long Last Love,1975,0.22,0.4,1975
Man Friday,1975,0.33,0.65,1975
The Great Waldo Pepper,"Released Apr 13, 1975",0.67,0.57,1975
The Prisoner of Second Avenue,"Released Mar 14, 1975",0.44,0.67,1975
Rancho Deluxe,"Released Mar 14, 1975",0.73,0.4,1975
Terror of Mechagodzilla,1975,0.43,0.6,1975
The Yakuza,1975,0.6,0.72,1975
Escape to Witch Mountain,"Released Mar 21, 1975",0.73,0.59,1975
Rosebud,1975,0.44,0.2,1975
Brannigan,"Released Mar 21, 1975",0.25,0.4,1975
"Sheba, Baby","Released Mar 26, 1975",0.29,0.3,1975
Capone,2020,0.4,0.24,2020
The Passenger,"Released Feb 28, 1975",0.88,0.84,1975
Dolemite,"Released Apr 26, 1975",0.57,0.66,1975
Monty Python and the Holy Grail,"Released Apr 1, 1975",0.96,0.95,1975
The Switchblade Sisters,"Released Jun 15, 1996",0.56,0.7,1996
Seven Beauties,"Released Jan 21, 1976",0.67,0.88,1976
The Day of the Locust,"Released May 7, 1975",0.63,0.76,1975
End of the Game,1976,0.43,0.29,1976
Sheila Levine Is Dead and Living in New York,1975,0.43,0.57,1975
The Man in the Glass Booth,1975,0.8,0.73,1975
The Fortune,1975,0.36,0.34,1975
The Eiger Sanction,1975,0.67,0.54,1975
French Connection II,"Released May 21, 1975",0.82,0.62,1975
The Wind and the Lion,"Released May 22, 1975",0.63,0.69,1975
The Ultimate Warrior,1975,0.33,0.34,1975
Love and Death,"Released Jun 10, 1975",1.0,0.9,1975
Nashville,"Released Jun 11, 1975",0.89,0.84,1975
Night Moves,"Released Jun 11, 1975",0.84,0.71,1975
Bug,"Released May 25, 2007",0.61,0.34,2007
The Devil's Rain,"Released Aug 7, 1975",0.17,0.34,1975
Bite the Bullet,"Released Jun 20, 1975",0.73,0.54,1975
Cooley High,"Released Jan 1, 1975",0.89,0.89,1975
Rollerball,"Released Jan 1, 1975",0.67,0.62,1975
Race With the Devil,1975,0.71,0.56,1975
The Apple Dumpling Gang,"Released Jul 1, 1975",0.56,0.6,1975
Bucktown,"Released Jul 2, 1975",0.4,0.51,1975
The Drowning Pool,1975,0.53,0.47,1975
